MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
632PSN001,632,2006-06-14T00:00:00Z,6,2006,BMI_RWB,1,1.29999202203016,38.73019,-119.63489
632PSN001,632,2006-06-14T00:00:00Z,6,2006,BMI_TRC,1,1.17288807018602,38.73019,-119.63489
632PSN001,632,2006-09-20T00:00:00Z,9,2006,BMI_RWB,1,1.28546851801982,38.73019,-119.63489
632PSN001,632,2006-09-20T00:00:00Z,9,2006,BMI_TRC,1,1.1960800258548001,38.73019,-119.63489
633WE0991,633,2002-06-26T00:00:00Z,6,2002,BMI_RWB,1,0.857268631716815,38.732170000000004,-119.92824
633WE0991,633,2002-06-26T00:00:00Z,6,2002,BMI_TRC,1,0.819280911626599,38.732170000000004,-119.92824
633WE0991,633,2002-08-01T00:00:00Z,8,2002,BMI_RWB,1,0.813547208492043,38.732170000000004,-119.92824
633WE0991,633,2002-08-01T00:00:00Z,8,2002,BMI_TRC,1,0.964230557408334,38.732170000000004,-119.92824
633WE0991,633,2003-07-14T00:00:00Z,7,2003,BMI_RWB,1,0.964027720711814,38.732170000000004,-119.92824
633WE0991,633,2003-07-14T00:00:00Z,7,2003,BMI_TRC,1,1.01993083911981,38.732170000000004,-119.92824
633WE0991,633,2003-09-10T00:00:00Z,9,2003,BMI_RWB,1,0.846391887613499,38.732170000000004,-119.92824
633WE0991,633,2003-09-10T00:00:00Z,9,2003,BMI_TRC,1,1.01973645565415,38.732170000000004,-119.92824
633WE0991,633,2008-07-31T00:00:00Z,7,2008,BMI_RWB,1,0.842191162398863,38.732170000000004,-119.92824
633WE0991,633,2014-09-09T00:00:00Z,9,2014,BMI_RWB,1,0.71840539940734,38.732170000000004,-119.92824
633SED051,633,2006-07-17T00:00:00Z,7,2006,BMI_RWB,1,0.917665587878152,38.73893,-119.93332
632PS0110,632,2013-07-08T00:00:00Z,7,2013,BMI_RWB,1,1.12027258766433,38.7505,-119.6446
632PS0110,632,2013-08-05T00:00:00Z,8,2013,BMI_RWB,1,1.06543048779583,38.7505,-119.6446
633SED109,633,2007-06-30T00:00:00Z,6,2007,BMI_RWB,1,1.15664018143849,38.77915,-119.91802
633WIL001,633,1999-08-26T00:00:00Z,8,1999,BMI_SNARL,1,1.12318377168016,38.78228,-119.91593
633WIL001,633,2009-05-18T00:00:00Z,5,2009,BMI_RWB,1,1.10951802627703,38.78228,-119.91593
633WIL001,633,2009-06-25T00:00:00Z,6,2009,BMI_RWB,1,1.13211240556679,38.78228,-119.91593
633WIL001,633,2009-08-05T00:00:00Z,8,2009,BMI_RWB,1,0.891464510287985,38.78228,-119.91593
633WIL001,633,2009-10-01T00:00:00Z,10,2009,BMI_RWB,1,1.18645211375441,38.78228,-119.91593
633WIL001,633,2009-10-26T00:00:00Z,10,2009,BMI_RWB,1,1.22251677726976,38.78228,-119.91593
633WCR001,633,1999-08-26T00:00:00Z,8,1999,BMI_SNARL,1,0.905833234675653,38.7908,-119.79241
633PS0142,633,2014-06-30T00:00:00Z,6,2014,BMI_RWB,1,0.463770008022598,38.80733,-119.7778
633PS0003,633,2008-07-22T00:00:00Z,7,2008,BMI_RWB,1,0.872908823092884,38.8179,-119.90951
532TGRUPX,532,2005-09-22T00:00:00Z,9,2005,BMI_RWB,1,1.16507918052181,38.48525,-120.44688
532TGRUPX,532,2006-09-08T00:00:00Z,9,2006,BMI_RWB,1,1.2538073364302,38.48525,-120.44688
532TGRUPX,532,2008-10-08T00:00:00Z,10,2008,BMI_RWB,1,1.1639530462907,38.48525,-120.44688
532PS0071,532,2011-09-21T00:00:00Z,9,2011,BMI_RWB,1,1.10956452422124,38.49027,-120.39647
532PS0071,532,2011-10-12T00:00:00Z,10,2011,BMI_RWB,1,1.13598840135395,38.49027,-120.39647
532PTCAER,532,2013-08-19T00:00:00Z,8,2013,BMI_RWB,1,1.12768493212424,38.51109,-120.33743
532PTCAER,532,2000-08-18T00:00:00Z,8,2e3,NotRecorded,1,1.08496789517048,38.51109,-120.33743
515PS0490,515,2012-06-14T00:00:00Z,6,2012,BMI_RWB,1,0.260482222023057,39.3201,-121.5193
520CC0354,520,2007-06-21T00:00:00Z,6,2007,BMI_RWB,1,0.523843351726315,39.48555,-121.72972
518LST001,518,2005-09-27T00:00:00Z,9,2005,BMI_RWB,1,0.631165055742367,39.57472,-121.13972
518LST001,518,2006-10-10T00:00:00Z,10,2006,BMI_RWB,1,0.588754763748688,39.57472,-121.13972
520WE1103,520,2002-05-14T00:00:00Z,5,2002,BMI_RWB,1,0.457530130618587,39.57528,-122.00068
520WE1103,520,2004-08-06T00:00:00Z,8,2004,BMI_RWB,1,0.653673614818139,39.57528,-122.00068
520CLCANR,520,2004-10-15T00:00:00Z,10,2004,BMI_RWB,1,0.683324251528667,39.58173,-121.69884
520GRCOSR,520,2004-10-29T00:00:00Z,10,2004,BMI_RWB,1,0.563836561117254,39.59336,-121.63958
520FC1087,520,2014-06-24T00:00:00Z,6,2014,BMI_RWB,1,0.439758617474404,39.61321,-121.77937
520DCH191,520,2004-09-30T00:00:00Z,9,2004,BMI_RWB,1,0.623745215814618,39.61971,-121.63648
